Film,Genre,LeadStudio,AudienceScore,RottenTomatoes,WorldwideGross,Profitability,Year
27 Dresses,Comedy,Fox,71.0,40,160.31,5.34,2008
(500) Days of Summer,Comedy,Fox,81.0,87,60.72,8.1,2009
A Dangerous Method,Drama,Independent,89.0,79,8.97,0.45,2011
A Serious Man,Drama,Universal,64.0,89,30.68,4.38,2009
Across the Universe,Romance,Independent,84.0,54,29.37,0.65,2007
Beginners,Comedy,Independent,80.0,84,14.31,4.47,2011
Dear John,Drama,Sony,66.0,29,114.97,4.6,2010
Enchanted,Comedy,Disney,80.0,93,340.49,4.01,2007
Fireproof,Drama,Independent,51.0,40,33.47,66.93,2008
Four Christmases,Comedy,Warner Bros.,52.0,26,161.83,2.02,2008
Ghosts of Girlfriends Past,Comedy,Warner Bros.,47.0,27,102.22,2.04,2009
Gnomeo and Juliet,Animation,Disney,52.0,56,193.97,5.39,2011
Going the Distance,Comedy,Warner Bros.,56.0,53,42.05,1.31,2010
Good Luck Chuck,Comedy,Lionsgate,61.0,3,59.19,2.37,2007
He's Just Not That Into You,Comedy,Warner Bros.,60.0,42,178.84,7.15,2009
High School Musical 3: Senior Year,Comedy,Disney,76.0,65,252.04,22.91,2008
I Love You Phillip Morris,Comedy,Independent,57.0,71,20.1,1.34,2010
It's Complicated,Comedy,Universal,63.0,56,224.6,2.64,2009
Jane Eyre,Romance,Universal,77.0,85,30.15,1.4,2011
Just Wright,Comedy,Fox,58.0,45,21.57,1.8,2010
Killers,Action,Lionsgate,45.0,11,93.4,1.25,2010
Knocked Up,Comedy,Universal,83.0,91,219.0,6.64,2007
Leap Year,Comedy,Universal,49.0,21,32.59,1.72,2010
Letters to Juliet,Comedy,Summit,62.0,40,79.18,2.64,2010
License to Wed,Comedy,Warner Bros.,55.0,8,69.31,1.98,2007
Life as We Know It,Comedy,Independent,62.0,28,96.16,2.53,2010
Love & Other Drugs,Comedy,Fox,55.0,48,54.53,1.82,2010
Love Happens,Drama,Universal,40.0,18,36.08,2.0,2009
Made of Honor,Comedy,Sony,61.0,13,105.96,2.65,2008
Mamma Mia!,Comedy,Universal,76.0,53,609.47,9.23,2008
Marley and Me,Comedy,Fox,77.0,63,206.07,3.75,2008
Midnight in Paris,Romance,Sony,84.0,93,148.66,8.74,2011
Miss Pettigrew Lives for a Day,Comedy,Independent,70.0,78,15.17,0.25,2008
Monte Carlo,Romance,20th Century Fox,50.0,38,39.66,1.98,2011
Music and Lyrics,Romance,Warner Bros.,70.0,63,145.9,3.65,2007
My Week with Marilyn,Drama,The Weinstein Company,84.0,83,8.26,0.83,2011
New Year's Eve,Romance,Warner Bros.,48.0,8,142.04,2.54,2011
Nick and Norah's Infinite Playlist,Comedy,Sony,67.0,73,33.53,3.35,2008
No Reservations,Comedy,,64.0,39,92.6,3.31,2007
Not Easily Broken,Drama,Independent,66.0,34,10.7,2.14,2009
One Day,Romance,Independent,54.0,37,55.24,3.68,2011
Our Family Wedding,Comedy,Independent,49.0,14,21.37,3.2,2010
Over Her Dead Body,Comedy,New Line,47.0,15,20.71,2.07,2008
P.S. I Love You,Romance,Independent,82.0,21,153.09,5.1,2007
Penelope,Comedy,Summit,74.0,52,20.74,1.38,2008
Rachel Getting Married,Drama,Independent,61.0,85,16.61,1.38,2008
Remember Me,Drama,Summit,70.0,28,55.86,3.49,2010
Sex and the City,Comedy,Warner Bros.,81.0,49,415.25,7.22,2008
Sex and the City 2,Comedy,Warner Bros.,49.0,15,288.35,2.88,2010
She's Out of My League,Comedy,Paramount,60.0,57,48.81,2.44,2010
Something Borrowed,Romance,Independent,,56,60.18,1.72,2011
Tangled,Animation,Disney,88.0,89,355.08,1.37,2010
The Back-up Plan,Comedy,CBS,47.0,20,77.09,2.2,2010
The Curious Case of Benjamin Button,Fantasy,Warner Bros.,81.0,73,285.43,1.78,2008
The Duchess,Drama,Paramount,68.0,60,43.31,3.21,2008
The Heartbreak Kid,Comedy,Paramount,41.0,30,127.77,2.13,2007
The Invention of Lying,Comedy,Warner Bros.,47.0,56,32.4,1.75,2009
The Proposal,Comedy,Disney,74.0,43,314.7,7.87,2009
The Time Traveler's Wife,Drama,Paramount,65.0,38,101.33,2.6,2009
The Twilight Saga: New Moon,Drama,Summit,78.0,27,709.82,14.2,2009
The Ugly Truth,Comedy,Independent,68.0,14,205.3,5.4,2009
Twilight,Romance,Summit,82.0,49,376.66,10.18,2008
Twilight: Breaking Dawn,Romance,Independent,68.0,26,702.17,6.38,2011
Tyler Perry's Why Did I get Married,Romance,Independent,47.0,46,55.86,3.72,2007
Valentine's Day,Comedy,Warner Bros.,54.0,17,217.57,4.18,2010
Waiting For Forever,Romance,Independent,53.0,6,0.03,0.01,2011
Waitress,Romance,Independent,67.0,89,22.18,11.09,2007
WALL-E,Animation,Disney,89.0,96,521.28,2.9,2008
Water For Elephants,Drama,20th Century Fox,72.0,60,117.09,3.08,2011
What Happens in Vegas,Comedy,Fox,72.0,28,219.37,6.27,2008
When in Rome,Comedy,Disney,44.0,15,43.04,1.3,2010
You Will Meet a Tall Dark Stranger,Comedy,Independent,35.0,43,26.66,1.21,2010
Youth in Revolt,Comedy,The Weinstein Company,52.0,68,19.62,1.09,2010
Zack and Miri Make a Porno,Romance,The Weinstein Company,70.0,64,41.94,1.75,2008
