Date,Country,CumulativeTotalCases,DailyNewCases,ActiveCases,CumulativeTotalDeaths,DailyNewDeaths
2020-2-15,USA,15.0,0.0,12.0,0.0,0.0
2020-2-16,USA,15.0,0.0,12.0,0.0,0.0
2020-2-17,USA,15.0,0.0,12.0,0.0,0.0
2020-2-18,USA,15.0,0.0,12.0,0.0,0.0
2020-2-19,USA,15.0,0.0,12.0,0.0,0.0
2020-2-20,USA,15.0,0.0,10.0,0.0,0.0
2020-2-21,USA,35.0,20.0,29.0,0.0,0.0
2020-2-22,USA,35.0,0.0,29.0,0.0,0.0
2020-2-23,USA,35.0,0.0,28.0,0.0,0.0
2020-2-24,USA,53.0,18.0,48.0,0.0,0.0
2020-2-25,USA,57.0,4.0,51.0,0.0,0.0
2020-2-26,USA,60.0,3.0,54.0,0.0,0.0
2020-2-27,USA,60.0,0.0,54.0,0.0,0.0
2020-2-28,USA,63.0,3.0,57.0,0.0,0.0
2020-2-29,USA,68.0,5.0,60.0,1.0,1.0
2020-3-01,USA,75.0,7.0,65.0,1.0,0.0
2020-3-02,USA,100.0,25.0,85.0,6.0,5.0
2020-3-03,USA,124.0,24.0,106.0,9.0,3.0
2020-3-04,USA,158.0,34.0,138.0,11.0,2.0
2020-3-05,USA,221.0,63.0,200.0,12.0,1.0
2020-3-06,USA,319.0,98.0,289.0,15.0,3.0
2020-3-07,USA,435.0,116.0,401.0,19.0,4.0
2020-3-08,USA,541.0,106.0,504.0,22.0,3.0
2020-3-09,USA,704.0,163.0,663.0,26.0,4.0
2020-3-10,USA,994.0,290.0,949.0,30.0,4.0
2020-3-11,USA,1301.0,307.0,1248.0,38.0,8.0
2020-3-12,USA,2255.0,954.0,2207.0,40.0,2.0
2020-3-13,USA,3168.0,913.0,3111.0,47.0,7.0
2020-3-14,USA,3898.0,730.0,3791.0,57.0,10.0
2020-3-15,USA,4885.0,987.0,4752.0,72.0,15.0
2020-3-16,USA,6111.0,1226.0,5941.0,94.0,22.0
2020-3-17,USA,8234.0,2123.0,8005.0,121.0,27.0
2020-3-18,USA,11602.0,3368.0,11316.0,171.0,50.0
2020-3-19,USA,16591.0,4989.0,16239.0,240.0,69.0
2020-3-20,USA,22762.0,6171.0,22290.0,312.0,72.0
2020-3-21,USA,28182.0,5420.0,27601.0,377.0,65.0
2020-3-22,USA,38032.0,9850.0,37277.0,513.0,136.0
2020-3-23,USA,49127.0,11095.0,48047.0,694.0,181.0
2020-3-24,USA,61106.0,11979.0,59620.0,965.0,271.0
2020-3-25,USA,74944.0,13838.0,73078.0,1273.0,308.0
2020-3-26,USA,93139.0,18195.0,89351.0,1637.0,364.0
2020-3-27,USA,112626.0,19487.0,107585.0,2136.0,499.0
2020-3-28,USA,132308.0,19682.0,125793.0,2792.0,656.0
2020-3-29,USA,152756.0,20448.0,144353.0,3295.0,503.0
2020-3-30,USA,176628.0,23872.0,166302.0,4115.0,820.0
2020-3-31,USA,202889.0,26261.0,189567.0,5214.0,1099.0
2020-4-01,USA,230718.0,27829.0,214293.0,6486.0,1272.0
2020-4-02,USA,261573.0,30855.0,242243.0,7694.0,1208.0
2020-4-03,USA,295243.0,33670.0,272520.0,8989.0,1295.0
2020-4-04,USA,330404.0,35161.0,303479.0,10566.0,1577.0
2020-4-05,USA,356742.0,26338.0,324893.0,12001.0,1435.0
2020-4-06,USA,389375.0,32633.0,354112.0,13511.0,1510.0
2020-4-07,USA,424606.0,35231.0,384838.0,15813.0,2302.0
2020-4-08,USA,457684.0,33078.0,413164.0,18033.0,2220.0
2020-4-09,USA,491951.0,34267.0,443721.0,20182.0,2149.0
2020-4-10,USA,526679.0,34728.0,475127.0,22487.0,2305.0
2020-4-11,USA,556880.0,30201.0,499631.0,24563.0,2076.0
2020-4-12,USA,583220.0,26340.0,521798.0,26330.0,1767.0
2020-4-13,USA,610784.0,27564.0,543926.0,28073.0,1743.0
2020-4-14,USA,640361.0,29577.0,568386.0,30706.0,2633.0
2020-4-15,USA,672240.0,31879.0,587541.0,33417.0,2711.0
2020-4-16,USA,702956.0,30716.0,606686.0,35687.0,2270.0
2020-4-17,USA,736879.0,33923.0,635346.0,38302.0,2615.0
2020-4-18,USA,766190.0,29311.0,654175.0,40231.0,1929.0
2020-4-19,USA,791844.0,25654.0,674281.0,41833.0,1602.0
2020-4-20,USA,821703.0,29859.0,699979.0,43823.0,1990.0
2020-4-21,USA,849197.0,27494.0,713788.0,46582.0,2759.0
2020-4-22,USA,881482.0,32285.0,740901.0,49008.0,2426.0
2020-4-23,USA,913416.0,31934.0,766631.0,51437.0,2429.0
2020-4-24,USA,949546.0,36130.0,776546.0,53441.0,2004.0
2020-4-25,USA,984557.0,35011.0,800517.0,55557.0,2116.0
2020-4-26,USA,1010796.0,26239.0,823584.0,56744.0,1187.0
2020-4-27,USA,1034793.0,23997.0,824894.0,58177.0,1433.0
2020-4-28,USA,1061792.0,26999.0,844907.0,60729.0,2552.0
2020-4-29,USA,1091553.0,29761.0,865953.0,63199.0,2470.0
2020-4-30,USA,1123499.0,31946.0,886889.0,65492.0,2293.0
2020-5-01,USA,1159597.0,36098.0,910221.0,67467.0,1975.0
2020-5-02,USA,1188822.0,29225.0,924276.0,69207.0,1740.0
2020-5-03,USA,1215296.0,26474.0,942312.0,70390.0,1183.0
2020-5-04,USA,1240485.0,25189.0,954513.0,71732.0,1342.0
2020-5-05,USA,1266749.0,26264.0,963261.0,74161.0,2429.0
2020-5-06,USA,1292557.0,25808.0,971809.0,76747.0,2586.0
2020-5-07,USA,1321958.0,29401.0,992211.0,78932.0,2185.0
2020-5-08,USA,1351185.0,29227.0,1009936.0,80679.0,1747.0
2020-5-09,USA,1376865.0,25680.0,1016764.0,82146.0,1467.0
2020-5-10,USA,1397214.0,20349.0,1028193.0,83377.0,1231.0
2020-5-11,USA,1416147.0,18933.0,1038665.0,84460.0,1083.0
2020-5-12,USA,1440494.0,24347.0,1033993.0,86380.0,1920.0
2020-5-13,USA,1464064.0,23570.0,1036291.0,88257.0,1877.0
2020-5-14,USA,1492059.0,27995.0,1055787.0,90060.0,1803.0
2020-5-15,USA,1520148.0,28089.0,1070467.0,91726.0,1666.0
2020-5-16,USA,1543961.0,23813.0,1079738.0,92979.0,1253.0
2020-5-17,USA,1563953.0,19992.0,1092386.0,93872.0,893.0
2020-5-18,USA,1587316.0,23363.0,1100280.0,94899.0,1027.0
2020-5-19,USA,1609250.0,21934.0,1111292.0,96489.0,1590.0
2020-5-20,USA,1632356.0,23106.0,1122529.0,97939.0,1450.0
2020-5-21,USA,1661045.0,28689.0,1134816.0,99395.0,1456.0
2020-5-22,USA,1686349.0,25304.0,1102139.0,100724.0,1329.0
2020-5-23,USA,1708150.0,21801.0,1108851.0,101765.0,1041.0
2020-5-24,USA,1727312.0,19162.0,1118636.0,102403.0,638.0
2020-5-25,USA,1746484.0,19172.0,1120584.0,103056.0,653.0
