ProvincialUnit,Date,ElectricityConsumption
Shanghai,2011/1/1,33764.17
Jiangsu,2011/1/1,91192.0
Zhejiang,2011/1/1,61964.6
Anhui,2011/1/1,29782.77
Fujian,2011/1/1,33580.74
Shanghai,2011/1/2,35099.2
Jiangsu,2011/1/2,97195.0
Zhejiang,2011/1/2,70993.6
Anhui,2011/1/2,31248.34
Fujian,2011/1/2,36827.26
Shanghai,2011/1/3,37797.0
Jiangsu,2011/1/3,106851.0
Zhejiang,2011/1/3,78142.0
Anhui,2011/1/3,32326.0
Fujian,2011/1/3,39479.0
Shanghai,2011/1/4,41463.31
Jiangsu,2011/1/4,112681.57
Zhejiang,2011/1/4,79978.3
Anhui,2011/1/4,32662.58
Fujian,2011/1/4,40168.1
Shanghai,2011/1/5,43031.96
Jiangsu,2011/1/5,115169.0
Zhejiang,2011/1/5,81548.9
Anhui,2011/1/5,33241.33
Fujian,2011/1/5,39823.22
Shanghai,2011/1/6,42925.05
Jiangsu,2011/1/6,115231.0
Zhejiang,2011/1/6,81857.1
Anhui,2011/1/6,33426.33
Fujian,2011/1/6,40829.47
Shanghai,2011/1/7,43005.77
Jiangsu,2011/1/7,115331.0
Zhejiang,2011/1/7,82058.9
Anhui,2011/1/7,33495.56
Fujian,2011/1/7,40373.35
Shanghai,2011/1/8,39520.03
Jiangsu,2011/1/8,112782.0
Zhejiang,2011/1/8,80997.0
Anhui,2011/1/8,33121.78
Fujian,2011/1/8,40283.89
Shanghai,2011/1/9,38614.27
Jiangsu,2011/1/9,110543.0
Zhejiang,2011/1/9,78534.1
Anhui,2011/1/9,32917.73
Fujian,2011/1/9,39385.77
Shanghai,2011/1/10,42535.0
Jiangsu,2011/1/10,114086.0
Zhejiang,2011/1/10,80601.0
Anhui,2011/1/10,33776.0
Fujian,2011/1/10,40581.0
Shanghai,2011/1/11,43855.19
Jiangsu,2011/1/11,114612.6
Zhejiang,2011/1/11,81191.1
Anhui,2011/1/11,33905.7
Fujian,2011/1/11,41390.37
Shanghai,2011/1/12,43244.03
Jiangsu,2011/1/12,114474.01
Zhejiang,2011/1/12,80400.6
Anhui,2011/1/12,33652.13
Fujian,2011/1/12,40823.48
Shanghai,2011/1/13,42551.91
Jiangsu,2011/1/13,114797.81
Zhejiang,2011/1/13,80552.9
Anhui,2011/1/13,33489.28
Fujian,2011/1/13,41248.33
Shanghai,2011/1/14,42074.31
Jiangsu,2011/1/14,114628.01
Zhejiang,2011/1/14,80472.2
Anhui,2011/1/14,32907.79
Fujian,2011/1/14,40020.54
Shanghai,2011/1/15,40538.64
Jiangsu,2011/1/15,113633.01
Zhejiang,2011/1/15,79574.3
Anhui,2011/1/15,33164.73
Fujian,2011/1/15,40052.1
Shanghai,2011/1/16,39965.63
Jiangsu,2011/1/16,111382.0
Zhejiang,2011/1/16,77722.3
Anhui,2011/1/16,32968.25
Fujian,2011/1/16,38530.34
Shanghai,2011/1/17,43817.57
Jiangsu,2011/1/17,113695.0
Zhejiang,2011/1/17,79670.3
Anhui,2011/1/17,34363.19
Fujian,2011/1/17,40670.16
Shanghai,2011/1/18,44735.94
Jiangsu,2011/1/18,113996.0
Zhejiang,2011/1/18,79488.5
Anhui,2011/1/18,34891.18
Fujian,2011/1/18,40203.02
Shanghai,2011/1/19,44461.73
Jiangsu,2011/1/19,113266.0
Zhejiang,2011/1/19,78008.1
Anhui,2011/1/19,34303.51
Fujian,2011/1/19,38891.44
Shanghai,2011/1/20,44429.3
Jiangsu,2011/1/20,113265.0
Zhejiang,2011/1/20,75623.2
Anhui,2011/1/20,33739.78
Fujian,2011/1/20,41250.08
Shanghai,2011/1/21,43164.35
Jiangsu,2011/1/21,110030.0
Zhejiang,2011/1/21,73291.2
Anhui,2011/1/21,32993.18
Fujian,2011/1/21,38513.11
Shanghai,2011/1/22,39755.9
Jiangsu,2011/1/22,107995.01
Zhejiang,2011/1/22,69867.7
Anhui,2011/1/22,32473.19
Fujian,2011/1/22,37938.32
Shanghai,2011/1/23,38758.0
Jiangsu,2011/1/23,103494.01
Zhejiang,2011/1/23,66938.3
Anhui,2011/1/23,31677.75
Fujian,2011/1/23,35852.35
Shanghai,2011/1/24,40942.0
Jiangsu,2011/1/24,104676.01
Zhejiang,2011/1/24,65461.0
Anhui,2011/1/24,31980.0
Fujian,2011/1/24,36180.0
Shanghai,2011/1/25,40389.0
Jiangsu,2011/1/25,101743.0
Zhejiang,2011/1/25,61633.0
Anhui,2011/1/25,31281.0
Fujian,2011/1/25,35708.0
Shanghai,2011/1/26,39935.77
Jiangsu,2011/1/26,98444.0
Zhejiang,2011/1/26,57739.6
Anhui,2011/1/26,30691.58
Fujian,2011/1/26,33674.24
Shanghai,2011/1/27,39091.95
Jiangsu,2011/1/27,95904.02
Zhejiang,2011/1/27,54571.3
Anhui,2011/1/27,30937.19
Fujian,2011/1/27,33159.88
Shanghai,2011/1/28,38595.44
Jiangsu,2011/1/28,91888.01
Zhejiang,2011/1/28,51001.0
Anhui,2011/1/28,30242.6
Fujian,2011/1/28,31070.18
Shanghai,2011/1/29,35410.4
Jiangsu,2011/1/29,85523.0
Zhejiang,2011/1/29,45674.2
Anhui,2011/1/29,28783.85
Fujian,2011/1/29,29580.12
Shanghai,2011/1/30,35720.49
Jiangsu,2011/1/30,81642.0
Zhejiang,2011/1/30,42609.5
Anhui,2011/1/30,27769.09
Fujian,2011/1/30,28425.81
Shanghai,2011/1/31,33763.8
Jiangsu,2011/1/31,74083.01
