fid,group_num,breakdown_is_C,breakdown_is_T,breakdown_is_Q,is_constant,has_minus,skewness,kurtosis,top_1_proportion,top_2_proportion,top_3_proportion,normalized_coefficient_variation,entropy,reci_entropy,chi_2_s,chi_2_p,chi_2_p_005,gini_coeff,normal_s,normal_p,normal_p_005,powerlaw_s,powerlaw_p,powerlaw_p_005,percent_3sigma,percent_15iqr,percent_grubbs,outliers_mean_zscore,lof_index,is_Outliers,is_Distributions,is_Correlations,chart_type
ppop:66,9.0,True,False,False,False,False,1.2964725172919649,-0.2300285427616,0.3784151106580796,0.7311927597337411,0.7899890345796846,1.2694671178586363,1.573627177969466,0.6354745355188595,13242.036718300926,0.0,True,0.5634853219448018,0.6526973247528076,0.0003969545359723,True,0.4444444444444444,0.3517071164129987,False,0.0,0.2222222222222222,0.0,0.0,0.0115193584899273,True,True,False,pie
TWHarr:163,4.0,True,False,False,False,False,1.1495095692586497,-0.6705194132703309,0.8299039780521262,0.0,0.0,1.5632409411220012,0.6365399516352649,1.5709933012547128,1309.4362139917696,1.319327001995111e-283,True,0.5963648830746969,0.6646279692649841,0.004144474864006,True,0.75,0.2285714285714286,False,0.0,0.25,0.0,0.0,0.0129265654266923,True,True,False,pie
TWHarr:173,9.0,True,False,False,False,False,2.253053009358901,3.4906498916813917,0.5953360768175583,0.7091906721536351,0.8079561042524005,1.6191210003670795,1.3707164848761728,0.7295454683981112,1817.9012345679007,0.0,True,0.6456332868115181,0.590612530708313,7.423780334647745e-05,True,0.1111111111111111,1.0,False,0.0,0.1111111111111111,0.0,2.759740889882042,0.019391825752924,True,True,False,pie
TWHarr:68,6.0,True,False,False,False,False,1.372406465131062,0.3685231532102349,0.5808720112517581,0.8002812939521801,0.8818565400843882,1.1935417986183148,1.1841904637428695,0.8444587510351174,995.8270042194092,4.8118924162794094e-213,True,0.5750117200960989,0.7712292075157166,0.0318868793547153,True,0.5,0.474025974025974,False,0.0,0.1666666666666666,0.0,0.0,0.0788995981913274,True,True,False,pie
gnoe8307:11,25.5,True,False,False,False,False,3.786288563092215,5.143264318406081,0.062973267346756,0.1129716783529935,0.1578824202397358,1.4196549211079776,4.013724800252884,0.2229643877132651,13242.036718300926,0.0,True,0.533398468252065,0.5475479364395142,4.686135205182316e-20,True,0.3057324840764331,7.010564609908688e-07,True,0.0,0.10828025477707,0.0891719745222929,4.653184578228846,0.7089070384076122,True,True,False,pie
iridwan:58,10.0,True,False,False,False,False,0.6905759619348965,-1.010412417118091,0.2033665407076606,0.3957402954311233,0.5320327979208089,1.0677209646272532,2.144397340477954,0.4663314867650018,13242.036718300926,0.0,True,0.3103758297506148,0.8309202194213867,0.0343255698680877,True,0.3,0.7869297884777761,False,0.0,0.0,0.0,0.0,0.0490051731435791,False,True,False,pie
mozilla:2205,3.0,True,False,False,False,False,0.7006850314446852,-1.5,0.684931506849315,0.0,0.0,1.3133082778246314,0.840292338059665,1.1900620233062211,81.38356164383562,2.127081499176301e-18,True,0.3607305928660786,0.7878724336624146,0.0858625173568725,False,0.6666666666666666,0.6,False,0.0,0.0,0.0,0.0,0.0376826002597222,False,True,False,pie
figueiredo.fabio:1918,3.0,True,False,False,False,False,0.6276564402833283,-1.5,0.4376960364984317,0.0,0.0,1.120212559273061,1.0743702769575052,0.9307777974199796,176.33532934131736,5.119997527335954e-39,True,0.1140575990777823,0.8732098937034607,0.3046855628490448,False,0.3333333333333333,1.0,False,0.0,0.0,0.0,0.0,0.1241952247180248,False,True,False,pie
maragones:1161,8.0,True,False,False,True,False,0.0,-3.0,0.125,0.25,0.375,0.2728431761318707,2.079441541679836,0.4808983469629878,0.0,5.203720948349015e-09,False,0.0,1.0,0.7149908633873566,False,0.75,0.0186480186480186,True,0.0,0.0,0.0,0.0,0.0,False,True,False,pie
maragones:1159,8.0,True,False,False,False,False,-2.267786838055363,3.1428571428571423,0.1262135922330097,0.2524271844660194,0.3786407766990291,0.3779644730092272,2.0791049947688998,0.4809761904839029,0.0006796116504854,5.203720948349015e-09,False,0.0084951390329017,0.418398380279541,1.0472282383489071e-06,True,0.75,0.0024864024864024,True,0.0,0.125,0.0,2.6457513110645903,0.0,True,True,False,pie
maragones:1157,8.0,True,False,False,False,False,-2.028919457403654,2.5057880163756723,0.1414141414141414,0.2828282828282829,0.4242424242424243,0.3890928909575931,2.0462111318307423,0.4887081222675694,0.0532323232323232,5.203720948349015e-09,False,0.0972221436588738,0.6043703556060791,0.0001788558729458,True,0.5,0.2826728826728826,False,0.0,0.125,0.0,2.5700803670272894,0.0320465946834666,True,True,False,pie
maragones:1155,10.0,True,False,False,False,False,-0.7781140372241423,-1.2796948579993517,0.1274509803921568,0.2549019607843137,0.3823529411764706,0.6650621717611763,2.237389059654805,0.4469495350774106,0.1172549019607843,5.203720948349015e-09,False,0.1705880680509137,0.7049030065536499,0.0010100938379764,True,0.6,0.0524475524475524,False,0.0,0.0,0.0,0.0,0.0281870918803102,False,True,False,pie
maragones:1151,5.0,True,False,False,False,False,-1.5,0.25,0.202020202020202,0.4040404040404041,0.6060606060606062,0.5,1.609231744190331,0.6214145374711957,0.0004040404040404,5.203720948349015e-09,False,0.0080808039995939,0.5521817207336426,0.0001309783983742,True,0.75,0.0793650793650793,False,0.0,0.2,0.0,0.0,0.0,True,True,False,pie
maragones:1149,5.0,True,False,False,True,False,0.0,-3.0,0.2,0.4,0.6000000000000001,0.2728431761318707,1.6094379124341005,0.6213349345596118,0.0,5.203720948349015e-09,False,0.0,1.0,0.7149908633873566,False,0.75,0.0079365079365079,True,0.0,0.0,0.0,0.0,0.0,False,True,False,pie
maragones:1147,15.0,True,False,False,False,False,-2.28826445093381,5.143264318406081,0.0673076923076922,0.1346153846153845,0.2019230769230768,0.2728431761318707,2.707374058537632,0.3693615948067932,0.0013461538461538,5.203720948349015e-09,False,0.0089743460305906,0.3430068865418434,9.834303682509927e-08,True,0.75,3.8680350227363097e-07,True,0.0,0.0666666666666666,0.0666666666666666,3.741657386773954,0.740945516688855,True,True,False,pie
maragones:1145,10.0,True,False,False,True,False,0.0,-3.0,0.1,0.2,0.3,0.2728431761318707,2.302585092994045,0.4342944819032518,0.0,5.203720948349015e-09,False,2.2204438288064838e-17,1.0,0.7149908633873566,False,0.75,0.0020567667626491,True,0.0,0.0,0.0,0.0,0.0,False,True,False,pie
maragones:1139,20.0,True,False,False,False,False,-2.28826445093381,5.143264318406081,0.053763440860215,0.1075268817204301,0.1612903225806451,0.2740724348364896,2.98125704614685,0.3354289766098693,0.0226881720430107,5.203720948349015e-09,False,0.0607525575213816,0.5344101190567017,6.612837069042143e-07,True,0.75,9.54696510144592e-06,True,0.0,0.25,0.05,3.648670471354026,0.740945516688855,True,True,False,pie
supermax03:0,25.5,True,False,False,False,False,3.8137740848896833,5.143264318406081,0.1085794547291752,0.193739609886336,0.2762296419259508,1.9130009240382664,3.773267036271957,0.2650223242582943,13242.036718300926,0.0,True,0.7006429642929194,0.5153065919876099,7.378701699698609e-18,True,0.3017241379310345,4.60407550763792e-05,True,0.0,0.0948275862068965,0.0603448275862069,4.603554875992791,0.740945516688855,True,True,False,pie
